speed_t0,speed_t1,speed_t2,speed_t3,speed_t4,speed_t5,speed_t6,speed_t7,speed_t8,speed_t9,speed_t10,speed_t11,speed_t12,speed_t13,speed_t14,speed_t15,speed_t16,speed_t17,speed_t18,speed_t19,speed_t20,speed_t21,speed_t22,speed_t23,speed_t24,speed_t25,speed_t26,speed_t27,speed_t28,speed_t29,speed_t30,speed_t31,speed_t32,speed_t33,speed_t34,speed_t35,speed_t36,speed_t37,speed_t38,speed_t39,speed_t40,speed_t41,speed_t42,speed_t43,speed_t44,speed_t45,speed_t46,speed_t47,speed_t48,speed_t49
60.92,43.43,79.32,104.5,81.78,69.24,61.09,56.18,69.09,31.83,59.19,98.05,50.67,69.98,68.13,19.45,60.46,68.27,61.89,82.74,86.73,62.62,47.54,71.09,70.66,68.55,73.68,83.86,77.28,105.1,76.33,70.3,55.94,84.69,68.51,55.93,53.75,24.55,52.49,112.66,65.18,76.59,81.32,78.21,74.89,70.73,65.0,65.8,74.29,85.23
109.31,123.29,95.7,69.49,99.41,84.46,35.98,75.5,74.36,74.57,92.51,96.04,106.07,77.3,89.79,77.91,85.92,67.91,72.2,95.31,67.87,93.05,77.56,9.15,55.21,103.24,62.81,84.9,89.92,69.92,30.35,91.42,89.2,80.15,110.59,84.45,74.03,100.08,88.17,63.57,91.94,78.29,111.48,85.77,76.16,107.31,67.76,86.36,90.25,86.17
79.1,50.7,52.45,49.54,58.54,69.87,61.45,42.43,74.34,68.65,84.08,52.9,79.27,66.04,63.41,76.21,63.92,71.06,67.67,72.55,62.79,106.44,44.34,76.56,46.18,59.83,75.14,81.31,105.28,52.42,15.23,56.69,52.75,48.12,93.73,90.69,54.02,62.13,69.31,64.33,53.67,58.08,83.1,52.04,82.69,64.22,45.69,57.96,53.85,53.96
99.59,84.29,80.15,78.05,100.21,90.21,119.92,58.16,76.82,79.69,71.12,96.58,76.72,61.37,64.14,103.49,71.06,51.16,68.91,54.19,33.17,52.65,59.28,76.15,51.4,75.27,61.01,78.3,70.49,89.7,49.95,69.66,116.01,79.36,92.51,84.95,82.67,114.65,76.29,66.83,78.52,71.84,83.36,76.85,80.94,61.66,82.21,60.68,87.65,87.66
75.06,80.24,98.41,41.89,61.49,88.0,80.06,80.55,71.76,114.59,99.08,92.99,70.11,80.33,74.05,87.28,74.62,77.71,74.94,82.87,86.61,49.61,73.29,95.48,76.35,115.68,104.87,81.01,125.4,93.74,78.7,102.29,86.8,90.96,78.09,95.55,93.42,77.91,99.31,99.68,110.56,106.29,74.92,119.04,123.88,81.57,91.21,63.22,62.88,65.17
0.0,5.38,8.14,17.24,24.01,23.57,28.0,35.55,39.11,44.19,44.57,51.29,48.83,44.47,47.1,39.67,42.75,44.49,44.42,50.38,41.0,42.46,48.1,47.44,45.69,52.9,48.6,50.41,46.59,45.11,45.15,49.53,49.06,46.09,48.16,49.63,45.05,45.71,48.08,41.38,43.94,43.39,39.98,38.58,33.73,29.45,28.88,23.83,24.0,16.67
0.84,2.06,7.96,13.47,21.25,25.76,27.06,40.76,38.15,47.46,44.98,47.83,44.58,44.24,42.55,48.62,47.89,46.49,46.1,41.91,48.17,46.45,50.09,47.84,49.52,47.38,47.94,50.19,46.82,48.81,46.07,47.01,52.18,49.32,45.77,48.67,43.56,46.73,44.54,48.75,48.53,42.91,42.59,36.25,35.56,27.82,31.48,26.09,19.85,21.26
91.49,87.84,116.22,114.94,43.72,86.9,89.74,88.86,103.15,102.08,114.37,86.89,109.02,97.54,118.18,96.88,90.87,93.52,89.17,67.98,89.28,92.66,102.84,90.08,93.16,89.71,92.94,90.12,87.58,85.52,91.94,106.23,101.5,75.06,32.9,86.35,75.27,97.32,92.86,118.29,129.3,84.7,83.54,88.59,57.3,102.47,129.13,79.53,95.05,85.8
2.85,5.5,8.77,16.26,22.71,29.86,32.6,38.84,47.17,53.8,55.96,53.88,53.34,53.77,50.72,51.76,49.21,50.92,50.82,50.02,52.33,50.95,53.43,47.05,51.58,52.32,50.99,51.4,47.17,52.99,53.86,53.4,55.04,52.53,53.36,52.39,53.98,47.19,49.24,56.68,50.68,45.71,51.4,42.85,37.2,35.93,30.39,28.83,23.87,20.18
0.03,3.97,6.69,10.99,16.94,19.22,22.92,26.55,28.38,32.92,34.72,31.36,32.43,33.5,27.0,33.99,27.91,38.4,31.06,31.72,29.97,30.39,39.1,35.1,27.63,36.79,35.86,31.43,33.2,32.23,38.2,29.89,32.72,30.99,27.98,38.85,28.73,32.94,27.06,31.08,30.11,33.45,23.98,28.01,29.1,22.73,24.89,21.37,20.63,21.89
74.14,97.56,113.28,106.83,106.04,81.75,115.89,86.15,15.95,116.77,58.77,105.14,104.99,73.67,83.12,87.0,74.33,64.79,83.33,82.0,39.84,88.53,103.01,82.22,87.9,54.67,123.66,78.48,87.01,92.42,72.31,101.01,103.03,77.18,88.18,93.56,79.31,91.63,51.63,68.24,91.36,72.65,97.12,77.8,83.92,102.32,91.81,72.9,73.67,78.66
63.87,62.92,56.36,43.16,59.83,48.79,62.1,47.96,86.14,81.27,52.55,46.08,38.56,82.46,46.31,60.16,67.1,58.13,0.0,44.78,46.04,0.09,62.3,74.43,44.97,51.83,47.94,20.59,86.76,49.13,42.09,77.57,110.91,62.27,79.08,54.45,61.25,69.07,52.24,59.34,57.86,66.51,62.0,52.53,57.65,74.63,67.84,66.8,88.33,47.69
85.21,70.33,22.21,77.99,123.27,42.41,121.63,102.69,102.95,95.13,92.4,103.36,60.51,81.62,72.76,66.48,79.86,75.31,103.42,90.19,64.97,92.86,76.94,89.83,93.81,109.75,91.7,93.91,56.21,80.45,89.13,87.41,92.89,123.99,74.78,87.06,129.3,91.31,87.76,83.25,82.63,83.87,102.0,77.71,90.18,73.99,98.26,82.65,79.18,91.67
3.34,4.49,11.35,20.25,25.58,27.81,36.3,45.42,48.74,57.64,58.88,54.94,56.58,54.77,52.72,56.36,55.37,58.55,54.2,52.49,58.51,54.97,52.4,58.94,57.56,60.32,53.75,53.33,51.52,53.08,53.62,56.83,51.99,52.79,59.87,45.98,56.22,50.91,52.36,59.05,57.75,49.06,46.46,44.5,36.25,35.01,32.68,26.48,25.04,18.8
0.0,9.75,15.92,20.72,31.08,40.14,47.56,55.61,66.42,70.35,67.61,75.6,73.6,67.62,73.0,67.83,72.1,75.13,66.18,68.19,68.25,70.6,71.22,69.53,64.76,66.11,67.15,71.48,65.62,67.06,66.4,70.83,73.2,70.26,75.78,70.26,69.52,67.45,70.41,67.32,71.39,59.42,62.47,53.33,45.93,41.74,37.93,33.14,25.34,21.2
62.92,71.98,68.56,69.69,62.35,70.92,56.16,68.42,81.74,54.16,57.61,63.58,59.74,70.84,93.34,78.26,65.07,68.25,88.47,60.81,62.66,80.52,54.6,81.87,63.24,81.43,112.85,19.61,87.97,30.35,66.97,8.03,64.32,62.81,82.06,69.56,74.55,67.26,61.15,70.53,117.61,14.21,71.11,84.04,77.57,77.15,77.16,50.55,79.41,58.95
95.98,92.02,140.0,100.02,65.02,35.25,100.98,86.13,85.61,86.19,97.65,76.02,84.35,103.48,85.24,84.52,74.57,98.84,96.19,102.75,89.73,94.88,94.77,42.91,119.33,102.82,92.03,88.4,106.97,92.24,102.05,84.15,119.07,89.15,91.21,127.97,129.39,104.43,106.9,82.3,87.55,102.7,105.67,99.99,84.33,78.59,93.88,80.39,96.61,126.58
1.96,5.17,15.35,20.22,25.44,27.11,39.23,46.56,49.19,55.37,56.13,57.5,53.02,54.75,56.44,49.9,52.6,53.13,51.47,55.63,55.09,59.58,51.95,56.01,52.67,50.16,57.07,57.32,56.96,51.36,55.56,57.1,58.16,57.19,58.2,58.51,55.62,56.8,58.31,56.48,54.28,48.12,46.34,46.86,41.77,34.15,30.61,32.12,21.88,18.57
74.01,74.19,69.63,38.21,94.63,78.76,69.94,77.94,69.38,81.37,84.32,97.29,73.4,99.87,70.78,77.6,101.64,115.29,100.69,105.03,86.64,88.65,84.6,68.37,40.87,74.39,68.84,76.72,84.24,92.48,77.41,79.52,90.11,81.31,85.04,106.35,82.89,20.49,81.93,97.59,82.49,70.45,98.18,89.12,89.67,89.35,17.41,88.23,127.39,74.7
0.25,4.76,12.72,16.62,25.02,28.44,36.81,39.83,49.23,49.84,49.24,53.27,57.31,50.67,51.26,50.84,51.25,55.05,55.75,57.8,50.38,55.44,55.94,58.35,50.6,47.38,52.56,61.82,50.11,54.85,46.74,58.84,47.76,46.22,53.69,53.75,57.65,55.94,47.39,52.94,53.38,48.55,45.88,39.89,38.16,32.62,30.65,26.76,24.37,20.13
1.41,5.7,10.53,19.3,24.28,29.94,34.86,46.57,52.42,60.3,54.48,51.09,54.71,58.59,54.78,60.91,54.11,57.53,56.31,58.05,58.35,62.24,59.56,56.22,59.33,59.74,63.62,57.02,57.24,61.42,51.49,56.87,59.57,60.63,50.86,53.47,50.01,60.11,58.1,61.74,57.49,55.48,47.27,41.18,39.32,36.25,33.22,30.89,24.81,24.51
